horas_energia,dia_semana,estacao,temperatura,pessoas,consumo_kwh,gasto_euros
14,terça,inverno,0.8,1,8.96,1.34
2,quarta,inverno,0.6,2,1.46,0.22
21,sexta,inverno,1.7,3,18.59,2.79
16,quinta,inverno,11.0,3,21.6,3.24
6,quinta,inverno,10.7,5,9.21,1.38
10,domingo,inverno,0.5,5,10.25,1.54
4,quinta,inverno,4.6,5,4.92,0.74
15,domingo,inverno,6.8,3,17.1,2.56
18,sábado,inverno,0.7,3,15.03,2.25
8,domingo,inverno,12.0,2,10.4,1.56
23,quinta,inverno,6.9,3,26.34,3.95
14,sexta,inverno,7.1,5,18.97,2.85
3,sexta,inverno,10.1,2,3.62,0.54
13,sábado,inverno,7.0,3,14.95,2.24
10,quinta,inverno,5.5,1,8.75,1.31
6,quarta,inverno,11.4,2,7.62,1.14
13,quarta,inverno,8.8,4,17.42,2.61
13,terça,inverno,11.7,4,19.3,2.9
22,sábado,inverno,2.9,5,25.19,3.78
1,sexta,inverno,13.2,1,1.26,0.19
2,quarta,inverno,14.2,5,3.42,0.51
4,sábado,inverno,0.2,1,2.44,0.37
20,segunda,inverno,3.5,5,23.5,3.52
2,sexta,inverno,12.1,2,2.61,0.39
17,sábado,inverno,4.3,5,20.66,3.1
5,sexta,inverno,9.5,4,6.88,1.03
3,sábado,inverno,14.6,3,4.59,0.69
4,sábado,inverno,1.3,4,3.86,0.58
6,segunda,inverno,6.3,1,5.49,0.82
15,quarta,inverno,11.0,5,23.25,3.49
9,segunda,inverno,8.6,1,9.27,1.39
3,quarta,inverno,8.2,5,4.23,0.63
6,quarta,inverno,5.7,1,5.31,0.8
1,sábado,inverno,5.6,2,0.98,0.15
15,terça,inverno,1.3,2,11.47,1.72
8,sábado,inverno,13.3,4,12.52,1.88
19,sábado,inverno,6.6,2,19.57,2.94
23,sábado,inverno,7.0,2,24.15,3.62
14,sábado,inverno,7.3,3,16.31,2.45
4,domingo,inverno,1.4,4,3.88,0.58
5,segunda,inverno,13.2,4,7.8,1.17
17,quinta,inverno,5.7,5,21.85,3.28
14,terça,inverno,3.3,2,12.11,1.82
5,quarta,inverno,14.1,1,6.53,0.98
19,domingo,inverno,4.0,4,20.9,3.13
5,terça,inverno,6.0,2,5.0,0.75
11,sábado,inverno,0.9,1,7.1,1.06
14,segunda,inverno,3.1,4,14.77,2.22
19,sexta,inverno,3.8,4,20.71,3.11
19,quinta,inverno,11.6,2,24.32,3.65
18,sexta,inverno,9.7,4,24.93,3.74
5,domingo,inverno,5.8,2,4.95,0.74
19,quinta,inverno,2.1,2,15.29,2.29
18,terça,inverno,0.9,5,18.81,2.82
5,domingo,inverno,1.2,3,4.3,0.64
14,quarta,inverno,1.3,4,13.51,2.03
22,quinta,inverno,2.4,4,22.44,3.37
7,segunda,inverno,11.3,2,8.86,1.33
13,domingo,inverno,9.9,4,18.14,2.72
7,sexta,inverno,14.8,5,12.18,1.83
9,sexta,inverno,0.8,4,8.46,1.27
21,terça,inverno,7.2,3,24.36,3.65
20,sexta,inverno,7.6,1,19.6,2.94
6,sábado,inverno,5.7,1,5.31,0.8
19,sexta,inverno,2.6,2,15.77,2.37
11,sábado,inverno,8.1,1,11.05,1.66
21,terça,inverno,7.7,5,29.09,4.36
20,domingo,inverno,3.8,3,19.8,2.97
7,quinta,inverno,12.9,4,10.81,1.62
4,sábado,inverno,7.4,4,5.08,0.76
1,domingo,inverno,6.1,3,1.1,0.17
9,segunda,inverno,6.5,3,10.12,1.52
